Gene,TSS
D630023F18Rik,65169767
Idh1,65225716
Idh1,65233053
Pikfyve,65233258
Pth2r,65357830
Crygf,65973095
Mtap2,66221902
Unc80,66515020
Rpe,66747466
1110028C15Rik,66864169
Acadl,66909841
Myl1,66981940
Myl1,66991630
Lancl1,67085439
Cps1,67169639
Erbb4,69154633
Ikzf2,69732534
Spag16,69873561
Spag16,69998203
Vwc2l,70772288
Bard1,71149546
Abca12,71461484
Atic,71603729
Fn1,71699745
Gm8883,71934685
Mreg,72258881
Pecr,72330888
Tmem169,72330946
Xrcc5,72353994
4-Mar,72583138
Smarcal1,72629824
Ankar,72747138
Rpl37a,72757833
Igfbp2,72871076
Igfbp5,72921439
Tnp1,73062473
Pinc,73454143
Tns1,74171021
Rufy4,74172114
Cxcr2,74200567
Cxcr1,74241205
Arpc2,74283123
Gpbar1,74325173
Aamp,74331240
Pnkd,74331607
Tmbim1,74350910
Pnkd,74379183
Gm216,74408681
Slc11a1,74421776
Ctdsp1,74438182
Mir26b,74440883
Vil1,74455957
Rqcd1,74552633
Plcd4,74589462
Usp37,74590860
Plcd4,74590933
Zfp142,74634602
Bcs1l,74634934
Rnf25,74647971
Stk36,74648028
Ttll4,74708327
Cyp27a1,74760147
Prkag3,74795529
Wnt6,74818465
Wnt10a,74838592
Cdk5r2,74901602
Fev,74931982
Cryba2,74939709
Mir375,74947295
Ccdc108,74982173
Ihh,74998225
Nhej1,75121800
Slc23a3,75130464
1810031K17Rik,75138942
Fam134a,75139359
Zfand2b,75165219
Zfand2b,75165308
Abcb6,75176857
Atg9a,75188497
Ankzf1,75188708
Glb1l,75207353
Stk16,75207403
Tuba4a,75215828
Dnajb2,75232997
Dnajb2,75233276
Ptprn,75260783
Resp18,75274955
Dnpep,75313592
Dnpep,75314212
Des,75356918
Speg,75371871
Speg,75378688
Speg,75382184
Speg,75396659
Gmppa,75432517
Accn4,75447084
Chpf,75476046
Tmem198,75476106
Obsl1,75503027
Inha,75503651
Stk11ip,75518103
Slc4a3,75542840
Epha4,77511663
Pax3,78193711
Sgpp2,78306920
Farsb,78485421
Mogat1,78507634
Utp14b,78654399
Utp14b,78655014
Kcne4,78813523
Scg2,79436665
Ap1s3,79668547
Wdfy1,79758344
Mrpl44,79772592
Serpine2,79855240
Fam124b,80210519
Cul3,80337005
Dock10,80755128
9430031J16Rik,81073891
Irs1,82288014
Rhbdd1,82313153
Rhbdd1,82335623
Col4a4,82583424
Col4a3,82583495
Mff,82721492
Tm4sf20,82765031
Agfg1,82836057
Slc19a3,83035023
Ccl20,83113340
Wdr69,83156336
Sphkap,83404775
Pid1,84281220
Dner,84692796
Trip12,84835879
Fbxo36,84836415
Slc16a14,84931658
A530032D15Rik,85106428
Gm7609,85196185
C130026I21Rik,85267141
Sp140,87497277
Sp110,87500466
Sp100,87546624
A630001G21Rik,87633181
Cab39,87690021
Itm2c,87791084
Gpr55,87857630
Spata3,87918516
2810459M11Rik,87942437
Psmd1,87961193
Htr2b,88008545
Armc9,88051354
Armc9,88051389
B3gnt7,88199795
Snora75,88247860
Snord82,88252902
Ncl,88256030
C130036L24Rik,88256148
Nmur1,88284716
1700019O17Rik,88322903
Ptma,88423310
Pde6d,88479076
Cops7b,88483674
Nppc,88567147
Dis3l2,88600378
Alppl2,88986503
Alpi,88998181
Akp3,89021582
Ecel1,89051602
Chrnd,89087226
Chrng,89102385
Eif4e2,89110488
Eif4e2,89110513
Efhd1,89160938
Gigyf2,89223572
Gigyf2,89223603
Kcnj13,89291304
3110079O15Rik,89366838
Ngef,89406937
Ngef,89470445
Neu2,89470601
Neu2,89480596
Neu2,89491124
Inpp5d,89516886
Atg16l1,89652645
Scarna6,89681145
Sag,89700254
Dgkd,89749861
Usp40,89905126
Ugt1a10,89951985
Ugt1a9,89967353
Ugt1a7c,89991575
Ugt1a6b,89999831
Ugt1a6a,90031383
Ugt1a5,90062586
Ugt1a2,90097185
Dnajb3,90102323
Ugt1a1,90108533
Heatr7b1,90123594
A730008H23Rik,90174132
Hjurp,90174154
Trpm8,90203286
Spp2,90303593
Glrp1,90406641
Arl4c,90598766
Sh3bp4,90967036
Agap1,91351385
4933400F21Rik,91580467
Gbx2,91827751
Asb18,91911152
Iqca,92049976
Cxcr7,92100577
Cops8,92499999
Mlph,92811676
Prlh,92849684
Rab17,92864244
Rab17,92866197
Lrrfip1,92895303
Lrrfip1,92950020
Rbm44,93041679
Ramp1,93076398
Ube2f,93146895
Scly,93194914
Espnl,93218651
Klhl30,93247649
Fam132b,93263006
Ilkap,93295360
1700020N18Rik,93302606
Hes6,93309799
Per2,93355905
Traf3ip1,93391244
Asb1,93437141
Asb1,93437656
Twist2,93698053
Hdac4,94044970
Ndufa10,94370335
Olfr1416,94377196
Olfr1415,94388330
Olfr1414,94415092
Olfr1413,94469701
Olfr1412,94484908
Olfr1411,94493097
Olfr1410,94504415
Olfr12,94516457
Myeov2,94538525
Myeov2,94538562
Otos,94545418
Gpc1,94728262
Mir149,94746954
Ankmy1,94799483
Dusp28,94803565
Rnpepl1,94807981
Capn10,94830984
9430060I03Rik,94847167
Gpr35,94869695
Gpr35,94875479
Aqp12,94902910
Kif1a,94998442
Agxt,95031852
2310007B03Rik,95057447
2310007B03Rik,95057525
Sned1,95132473
Mterfd2,95202447
Pask,95239365
Ppp1r7,95240221
Ano7,95270472
Hdlbp,95375385
2-Sep,95375569
2-Sep,95375637
Farp2,95408680
Stk25,95532304
Bok,95582270
Thap4,95651415
Atg4b,95651609
Dtymk,95698511
Ing5,95700541
D2hgdh,95721816
Gal3st2,95757920
Gm6086,95887085
Neu4,95917069
Pdcd1,95949130
Fam174a,97210204
St8sia4,97564171
Slco4c1,98768748
Slco6b1,98894137
Slco6c1,99024880
D1Ertd622e,99558595
Ppip5k2,99666669
Gin1,99666755
Pam,99992209
Slco6d1,100317700
Cntnap5b,101669341
Cdh20,106665395
Rnf152,107253287
Pign,107560253
2310035C23Rik,107560437
Tnfrsf11a,107677299
Zcchc2,107886982
Phlpp1,108068445
Bcl2,108610867
Kdsr,108656319
Vps4b,108693302
Serpinb5,108757756
Serpinb12,108831025
Serpinb13,108877560
Serpinb3a,108948880
Serpinb3d,108980057
Serpinb3b,109057691
Serpinb3c,109174948
Serpinb11,109258890
Serpinb7,109319265
Serpinb2,109407999
Serpinb2,109408086
Serpinb10,109425579
Serpinb8,109486582
Cdh7,111880313
Cdh19,112873949
Dsel,113761495
Cntnap5a,117581713
Tsn,120207709
Mki67ip,120218419
Clasp1,120285634
2900060B14Rik,120355842
Tcfcp2l1,120524521
Gli2,120950196
Inhbb,121318825
Ralb,121401359
Tmem185b,121422743
Epb4.1l5,121545577
Ptpn4,121733648
Tmem177,121809745
Gm101,121891787
Sctr,121903556
Tmem37,121970357
Dbi,122017496
Dbi,122017673
3110009E18Rik,122017763
Steap3,122161857
Steap3,122167659
C1ql2,122237158
Marco,122401661
En1,122499063
Insig2,123224339
Insig2,123229157
Ccdc93,123327643
Htr5b,123425042
Ddx18,123464557
Dpp10,125942136
Actr3,127332067
Slc35f5,127457592
Gpr39,127573572
Lypd1,127808791
Nckap5,128389504
Nckap5,128727209
Mgat5,129101562
Tmem163,129574598
Acmsd,129625989
Ccnt2,129670740
Ysk4,129736867
Rab3gap1,129765349
Zranb3,129998985
R3hdm1,129999882
Mir128-1,130098937
Ubxn4,130140757
Lct,130224895
Mcm6,130256233
Dars,130313993
Cxcr4,130488876
Thsd7b,131169880
Daf2,132319576
Cd55,132359317
Zp3r,132526183
C4bp,132558195
C4bp-ps1,132578148
Pfkfb2,132611153
Pfkfb2,132612398
Yod1,132613903
Pfkfb2,132625830
AA986860,132628552
Fcamr,132697478
Pigr,132723260
Faim3,132762353
Il24,132783988
Il20,132807873
Il19,132835818
Il10,132916421
Mapkapk2,132994120
Dyrk3,133034811
Lgtn,133049783
Rassf5,133141755
Ikbke,133176140
Srgap2,133423938
Fam72a,133424565
Avpr1b,133495690
Ctse,133534890
5430435G22Rik,133585271
Slc26a9,133640598
Pm20d1,133693971
Slc41a1,133724588
Rab7l1,133763853
Nucks1,133807034
Slc45a3,133859543
Slc45a3,133867185
Elk4,133904181
Mfsd4,133964639
Cdk18,134036262
Lemd1,134088012
Mir135b,134094664
Klhdc8a,134195202
Nuak2,134212714
Tmcc2,134287858
Dstyk,134314029
Rbbp5,134373943
Tmem81,134402806
Cntn2,134439517
Nfasc,134539435
Nfasc,134603903
Nfasc,134638374
Lrrn2,134776931
Mdm4,134921925
Pik3c2b,134942588
Ppp1r15b,135027742
Plekha6,135142673
Golt1a,135206399
Kiss1,135223788
Ren2,135247142
Ren1,135247250
Etnk2,135260148
Sox13,135320789
Snrpe,135506857
Zbed6,135557462
Zc3h11a,135557957
Lax1,135586593
Lax1,135586685
Atp2b4,135650028
Atp2b4,135650098
Optc,135803750
Optc,135804576
Prelp,135817978
Fmod,135934091
Btg2,135975732
Chit1,136007818
Chi3l1,136078980
Mybph,136090024
Adora1,136132004
Adora1,136132008
Myog,136186580
Ppfia4,136229505
Tmem183a,136258576
4933406M09Rik,136282516
Cyb5r1,136302566
Adipor1,136312043
Klhl12,136352131
Rabif,136391236
4931440L10Rik,136443599
Kdm5b,136456754
Syt2,136543257
9530009M10Rik,136700175
Ppp1r12b,136852517
Ube2t,136859153
Lgr6,137001853
Ptprv,137029152
Ptpn7,137029301
Arl8a,137043410
Gpr37l1,137064258
Elf3,137155049
Rnpep,137180661
Timm17a,137210314
Lmod1,137221389
Shisa4,137271640
Ipo9,137327068
Nav1,137481932
Csrp1,137625773
Phlda3,137662661
Tnni1,137695997
Tnni1,137696087
Lad1,137715174
Tnnt2,137732962
Tnnt2,137732996
Tnnt2,137737437
Pkp1,137815601
Tmem9,137904795
Tmem9,137914577
Tmem9,137914732
Cacna1s,137949477
Kif21b,138027977
5730559C18Rik,138130841
Gpr25,138157450
Camsap1l1,138242681
Ddx59,138311847
Ddx59,138311893
9230116N13Rik,138312096
Kif14,138364534
Zfp281,138521477
Nr5a2,138850207
Nr5a2,138857025
Mir181a-1,139863031
Mir181b-1,139863215
Ptprc,140071882
Atp6v1g3,140170314
Nek7,140516273
Lhx9,140739021
Lhx9,140744156
2310009B15Rik,140753431
Dennd1b,140860285
Dennd1b,140864297
Crb1,141273653
Zbtb41,141318959
Aspm,141351349
F13b,141398283
Cfhr1,141456799
EG214403,141677816
BC026782,141755276
Cfh,142079988
Kcnt2,142142833
B3galt2,145487826
Cdc73,145549814
Glrx2,145586478
Glrx2,145586697
Glrx2,145586744
Glrx2,145587576
Trove2,145624181
Uchl5,145624407
Rgs2,145851279
Rgs13,146024502
Rgs1,146096234
Rgs18,146622551
Fam5c,148342795
Fam5c,148344816
Pla2g4a,151808414
7530420F21Rik,151946896
Ptgs2,151947253
Pdc,152166546
Tpr,152239967
BC003331,152240185
Prg4,152313295
Hmcn1,152840565
Ivns1abp,153191627
1200016B10Rik,153275565
1190005F20Rik,153275777
Rnf2,153347953
Fam129a,153418502
Edem3,153602503
1700025G04Rik,153937450
Tsen15,154233812
Glt25d2,154246996
Rgl1,154472241
Apobec4,154597680
Arpc5,154613671
Ncf2,154655019
Smg7,154725298
Smg7,154749776
Nmnat2,154802230
Lamc2,155033577
Lamc1,155179916
E330020D12Rik,155261319
1700012A16Rik,155272338
Dhx9,155334790
Npl,155396844
Rgs8,155500166
Rgs16,155587482
Rnasel,155596555
5830403L16Rik,155698325
Gm5531,155721474
Teddm1,155738775
Glul,155747074
Cacna1e,156573050
Ier5,156946766
Mr1,156993910
Stx6,157005832
Xpr1,157264574
Acbd6,157405249
Lhx4,157589157
Qsox1,157660029
Cep350,157820385
Tor1aip1,157881947
Tor1aip2,157882793
Tor1aip2,157882856
Tor1aip2,157883165
Tor1aip1,157883610
Tor1aip2,157887990
Fam163a,158135156
Tdrd5,158233479
Nphs2,158240865
9430070O13Rik,158330121
Soat1,158404459
Abl2,158488917
Tor3a,158604470
Fam20b,158649041
Angptl1,158769153
Ralgps2,158869518
Ralgps2,158869757
1700057K13Rik,159038776
2810025M15Rik,159342482
Rasal2,159342726
BC026585,159388712
Sec16b,159436926
Sec16b,159456300
Fam5b,160286391
Astn1,160292470
Mir488,160435755
Pappa2,160887569
Rfwd2,161162456
Scarna3a,161270437
Tnr,161453899
4930523C07Rik,161974510
Tnn,162083706
Mrps14,162125390
Cacybp,162142908
Rabgap1l,162281702
Gpr52,162507884
Rabgap1l,162723069
Rc3h1,162836541
Serpinc1,162908736
Zbtb37,162964390
Gas5,162965296
Snord47,162968222
Dars2,163000763
Cenpl,163001022
Klhl20,163061610
Ankrd45,163072842
Prdx6,163181297
Tnfsf4,163325568
Tnfsf18,163424787
Fasl,163718626
AI848100,163806792
Pigc,163899318
Dnm3os,164147753
Mir199a-2,164147944
Mir214,164153498
Dnm3,164408161
Dnm3,164408165
Mettl13,164478476
Vamp4,164500958
Myoc,164569280
7420461P10Rik,164588350
Bat2l2,164670687
Fmo4,164742680
Fmo1,164796679
Fmo2,164828843
Fmo3,164914622
4921528O07Rik,165015801
Prrx1,165243781
Gorab,165333772
Mettl11b,165655363
Kifap3,165709809
Scyl3,165860194
BC055324,165924912
2810422O20Rik,165925075
Sele,165978364
Sell,165992206
Selp,166053832
F5,166081989
Slc19a2,166179185
4930455F23Rik,166205728
Blzf1,166237615
Nme7,166237805
Atp1b1,166388486
Dpt,166726862
Xcl1,166865641
Tbx19,167090904
Sft2d2,167124564
Tiprl,167167089
Gpr161,167225896
Dcaf6,167390594
Brp44,167391338
Adcy10,167415313
Mpzl1,167564672
Rcsd1,167638225
Creg1,167693910
Cd247,167718819
Pou2f1,167865031
Pou2f1,167932765
Dusp27,168058029
Gpa33,168060590
Mael,168168875
Ildr2,168184269
Tada1,168309297
Pogk,168339959
Gm4846,168427719
Gm4847,168577824
Fmo9,168611976
Fam78b,168931547
Uck2,169215258
Tmco1,169238800
Aldh9a1,169280121
Mgst3,169323928
Lrrc52,169396911
Rxrg,169528492
Rxrg,169548395
Lmx1a,169619688
Pbx1,170362389
Nuf2,171461595
Rgs5,171585631
Rgs4,171677773
1700084C01Rik,171859069
Hsd17b7,171899336
Ddr2,172019075
Uap1,172105077
Uhmk1,172145524
Sh2d1b2,172163001
Sh2d1b1,172207454
1700015E13Rik,172238991
Nos1ap,172487241
Nos1ap,172519980
Olfml2b,172574662
Atf6,172797902
Dusp12,172815671
Fcrlb,172843072
Fcrla,172857714
Fcgr2b,172906202
Fcgr4,172949056
Fcgr3,172989534
1700009P17Rik,173051791
Sdhc,173080734
Mpz,173080843
Pcp4l1,173126399
Nr1i3,173144100
Tomm40l,173152645
Apoa2,173155184
Fcer1g,173164480
Ndufs2,173177243
Adamts4,173180552
B4galt3,173200458
Ppox,173211317
Usp21,173218092
Ufc1,173225113
Dedd,173259275
Nit1,173275757
Pfdn2,173275829
Klhdc9,173290929
Pvrl4,173300303
Arhgap30,173319090
Usf1,173341811
Tstd1,173349163
F11r,173367691
Refbp2,173433608
Itln1,173465424
Cd244,173489323
Ly9,173537491
Slamf7,173583168
Cd48,173612185
Slamf1,173697262
Cd84,173770709
Slamf6,173847667
Vangl2,173957399
Nhlh1,173987727
Copa,174012659
Ncstn,174012880
Pex19,174056885
Dcaf8,174078145
Pea15a,174136912
Casq1,174150026
Atp1a4,174188555
Atp1a2,174228195
Igsf8,174242537
Kcnj9,174259394
Kcnj10,174271340
Pigm,174306661
Slamf9,174405490
Igsf9,174412343
Igsf9,174412447
Tagln2,174430376
Ccdc19,174451260
Vsig8,174486068
Vsig8,174490036
Slamf8,174520699
Fcrl6,174532682
Dusp23,174563105
Crp,174628186
Apcs,174825185
Olfr16,174886898
Olfr1408,175061346
Olfr1406,175114635
Olfr218,175133488
Olfr1404,175145737
Fcer1a,175157360
Olfr418-ps1,175200277
Darc,175263634
Cadm3,175297826
Aim2,175350734
BC094916,175466088
E030037K03Rik,175529405
Pyhin1,175560989
E430029J22Rik,175603810
Ifi204,175697050
Mndal,175810318
Mnda,175843053
Ifi203,175872591
Ifi203,175872623
Ifi202b,175912975
Ifi205,175961886
Olfr433,175972063
Olfr432,175980505
Olfr430,175999430
Olfr429,176019168
Olfr427,176029590
Olfr231,176048145
Olfr424,176066876
Olfr421,176081611
Olfr420,176088852
Spna1,176102906
Olfr419,176181107
1810030J14Rik,176260648
Olfr417,176299049
Olfr248,176321176
Olfr414,176360560
Olfr220,176378755
Fmn2,176431955
Grem2,176851950
Rgs7,177422676
Fh1,177555766
Kmo,177562323
Chml,177618484
Opn3,177622721
Wdr64,177628723
Exo1,177810908
B020018G12Rik,177909247
Pld5,178205443
Mir350,178702554
Cep170,178737255
Sdccag8,178744942
Akt3,179178898
Zfp238,179374791
Zfp238,179375951
1700016C15Rik,179659944
Adss,179726640
Gm16432,179921565
Pppde1,180117547
Fam36a,180249283
Hnrnpu,180267915
Efcab2,180336011
Kif26b,180459255
Smyd3,181448134
Tfb2m,181476398
Cnst,181476659
Sccpdh,181598361
Ahctf1,181734146
Cdc42bpa,181891219
Cabc1,182123616
Cabc1,182126151
Psen2,182176046
Psen2,182186431
Itpkb,182260606
Gm5069,182260680
6330403A02Rik,182413635
Parp1,182499105
Lin9,182571464
Mixl1,182627165
Acbd3,182656173
H3f3a,182743734
BC031781,182781281
Lefty2,182823249
Pycr2,182834404
Lefty1,182865169
Tmem63a,182872648
Ephx1,182947626
9130409I23Rik,182981367
Nvl,183074288
Cnih4,183081061
Wdr26,183142109
Cnih3,183282758
Ccdc121,183441582
Lbr,183772532
Enah,183950111
Srp9,184054867
Vmn1r1,184088229
Degs1,184212890
1700047M11Rik,184230964
Fbxo28,184271737
Trp53bp2,184339297
Capn2,184447614
Capn8,184495137
4922505E12Rik,184679311
Susd4,184695036
Tlr5,184884918
1700056E22Rik,185857877
Dusp10,185858339
Hlx,186556372
Mosc1,186635192
Mosc2,186669726
C130074G19Rik,186706915
Mark1,186823428
Rab3gap2,187028046
Mir194-1,187137197
Mir215,187137459
Iars2,187153280
Bpnt1,187156037
Eprs,187186973
Slc30a10,187278726
5033404E19Rik,187321184
Lyplal1,187941189
Tgfb2,188529871
Rrp15,188573237
D1Pas1,188791294
Spata17,189039325
Gpatch2,189039389
Esrrg,189821737
Ush2a,190086716
Kctd3,190831719
Kcnk2,191167232
Kcnk2,191167583
Kcnk2,191168071
Cenpf,191511965
Ptpn14,191552146
Smyd2,191746167
Prox1,191994559
Rps6kc1,192735649
Angel2,192752423
Vash2,192802877
Vash2,192803175
A230020J21Rik,192849229
Mfsd7b,192850069
1700022P22Rik,192860700
Tatdn3,192886811
Nsl1,192886899
Batf3,192922292
Fam71a,192988696
Atf3,193007212
Nenf,193141997
Tmem206,193149843
Ppp2r5a,193220920
Dtl,193399413
Ints7,193399612
Lpgat1,193541902
Lpgat1,193542273
Nek2,193645351
Slc30a1,193730659
1700034H15Rik,193731406
Rd3,193801253
Traf5,193916445
Gm10516,193960779
Rcor3,193961669
Kcnh1,194014753
Hhat,194597413
Sertad4,194677941
Sertad4,194681946
Syt14,194861892
AA408296,194956445
Irf6,194979305
A130010J15Rik,194999662
A130010J15Rik,194999770
Traf3ip3,195027740
Hsd11b1,195068554
Hsd11b1,195090239
G0s2,195099382
Lamb3,195128187
Camk1g,195196476
Mir205,195333724
Plxna2,196446022
Cd34,196765014
C030002c11rik,196803153
A330023F24Rik,196843592
Mir29b-2,196863233
Mir29c,196863740
Cd46,196918442
Cr1l,196957764
Cr2,197002909
Cnksr3,3134303
Ipcef1,3323355
Ipcef1,3366075
Oprm1,3557940
Rgs17,4424140
Mtrf1l,4522597
Fbxo5,4541075
Vip,4707323
Myct1,4752813
Syne1,4795848
Syne1,5151833
Syne1,5277477
Esr1,5734495
1700052N19Rik,5913936
Rmnd1,5914188
Gm5512,5917374
Zbtb2,5958432
Akap12,6080212
Mthfd1l,6373466
Plekhg1,6473874
Plekhg1,6606164
Iyd,6806262
Ppp1r14c,6980391
Lrp11,7309597
A630066F11Rik,7383168
Pcmt1,7383382
Nup43,7387301
BC020402,7400956
Lats1,7401006
Katna1,7445797
BC013529,7500715
Ppil4,7512691
Zc3h12d,7552267
Tab2,7675921
Ust,8238623
Sash1,8605868
Samd5,9395006
Stxbp5,9620838
Rab32,10278005
Gm5177,10325742
Grm1,10802129
Shprh,10869227
Fbxo30,11001127
Fbxo30,11001384
Epm2a,11063242
Utrn,12581533
Stx11,12684065
Sf3b5,12728255
Plagl1,12810593
Fam164b,12897829
Ltv1,12912943
Phactr2,13043966
Fuca2,13220833
Adat2,13272712
Pex3,13272948
Aig1,13588636
Hivep2,13686184
Gpr126,14264842
Vta1,14425295
Gje1,14438020
Nmbr,14480094
Cited2,17443033
Txlnb,17516024
Heca,17667873
3110003A17Rik,17743058
Reps1,17775745
Ccdc28a,17954787
Nhsl1,18127480
Nhsl1,18189786
Hebp2,18265882
