CHROM,EPU start,EPU end,promoters inside the EPU
chr1,31865000,32278100,"32229650,"
chr1,33608050,33726668,"33726603,33726668,"
chr1,33730250,33821200,"33776740,33777263,33814595,"
chr1,33871272,33885300,"33871272,"
chr1,33949700,34267600,"33964466,34068669,"
chr1,34496517,34555274,"34496517,34496673,34516590,34555274,"
chr1,34561400,34604600,"34592492,"
chr1,34610100,34693055,"34617788,34636537,34693055,"
chr1,34836800,34899895,"34858566,34899895,"
chr1,34906803,34917250,"34906803,"
chr1,36039750,36230900,"36125244,"
chr1,36270400,36308150,"36301147,"
chr1,36312050,36381200,"36330270,36364577,"
chr1,36392200,36446000,"36426026,"
chr1,36460000,36518950,"36502084,"
chr1,36523850,36615226,"36528441,36568720,36592574,36604046,36615226,"
chr1,36618300,36657050,"36650177,"
chr1,36687050,36740028,"36740028,"
chr1,36754375,36828000,"36766770,36818705,"
chr1,36883200,37000650,"36996372,"
chr1,37223050,37284200,"37276105,"
chr1,37344400,37456725,"37356737,37426065,"
chr1,37467250,37801750,"37486895,37487016,37545450,37593104,37776656,"
chr1,37929050,37941975,"37929050,"
chr1,37947256,37960350,"37947256,37947397,"
chr1,38028600,38128300,"38054053,38054854,"
chr1,38131850,38186507,"38186507,"
chr1,38705650,38792925,"38721800,"
chr1,38809800,38892950,"38878060,"
chr1,38922200,38986900,"38955005,"
chr1,39030100,39092750,"39044658,"
chr1,39251116,39301600,"39251116,"
chr1,39349400,39424695,"39424695,"
chr1,39478050,39568750,"39535592,"
chr1,39583675,39592646,"39592646,"
chr1,39602650,39616525,"39605685,"
chr1,39685700,39708027,"39708027,"
chr1,39748650,39825400,"39777834,"
chr1,39835225,39882775,"39862177,"
chr1,39888450,40081800,"39957757,"
chr1,40094900,40158575,"40141612,"
chr1,40197075,40368275,"40281924,40323430,"
chr1,40374600,40421800,"40381471,"
chr1,40431975,40508300,"40496493,40497472,"
chr1,40522396,40599300,"40522396,40522465,40522850,40572206,"
chr1,40604500,40637071,"40637071,"
chr1,40705200,40790500,"40738556,"
chr1,40797900,40854400,"40847502,"
chr1,40862445,40872850,"40862445,"
chr1,42684100,42800150,"42751670,42753990,42757180,"
chr1,42812850,42916100,"42908077,"
chr1,43009716,43017100,"43009716,"
chr1,43130900,43321750,"43155467,43155554,43220806,"
chr1,43484025,43502595,"43502595,"
chr1,43744400,43794800,"43787446,"
chr1,43960000,44168700,"43990851,44076851,44159233,"
chr1,44175618,44204588,"44175618,44176812,44204588,"
chr1,44237700,45560127,"44275776,44608515,45368382,45560127,"
chr1,45584500,45884300,"45852345,"
chr1,45894575,46059700,"45982439,"
chr1,46069108,46869600,"46069108,46123582,"
chr1,50686500,51372500,"50984366,51345969,"
chr1,51507400,51597050,"51535243,"
chr1,51777050,51979700,"51972818,"
chr1,52065087,52207400,"52065087,52176281,"
chr1,52212100,52345650,"52290076,"
chr1,52522425,52580050,"52557292,"
chr1,52654650,52691375,"52687548,"
chr1,52726150,52784162,"52784162,"
chr1,52851100,52877500,"52874532,"
chr1,52894500,52924800,"52901889,"
chr1,52958650,53076500,"53009684,"
chr1,53106700,53127700,"53118506,"
chr1,53150000,53270900,"53244461,"
chr1,53282675,53370506,"53353840,53353938,53370506,"
chr1,53381200,53445900,"53409543,"
chr1,53785550,53951350,"53842059,"
chr1,53989700,54251878,"54251878,"
chr1,54719100,54983231,"54983231,"
chr1,55036650,55084322,"55084322,"
chr1,55105800,55169400,"55109613,55144776,55144991,"
chr1,55267075,55283626,"55283094,55283626,"
chr1,55336100,55420313,"55419551,55420313,"
chr1,55451200,55514200,"55462789,"
chr1,56343450,56732500,"56694295,"
chr1,56902425,57049000,"57028178,57028312,"
chr1,57416500,57444800,"57434463,"
chr1,57831704,57857450,"57831704,"
chr1,58004675,58205100,"58026368,58026928,58042183,58052817,58086812,58169979,"
chr1,58267240,58271775,"58267240,"
chr1,58335169,58372600,"58335169,"
chr1,58402575,58449979,"58449979,"
chr1,58456000,58533100,"58480932,58502330,58504476,"
chr1,58544200,58558260,"58558260,"
chr1,58597500,58679700,"58643177,58643442,"
chr1,58726600,58835600,"58752833,58770129,"
chr1,58845350,58881075,"58852217,58859345,"
chr1,58981000,59167650,"59030326,59030414,59151744,"
chr1,59200300,59379275,"59218480,59220233,59293937,59294075,59313750,"
chr1,59522250,59580050,"59538990,59573107,"
chr1,59686100,59963550,"59727678,59741849,59748801,59761651,59821480,"
chr1,60090400,60099931,"60099931,"
chr1,60130750,60203800,"60154722,60155124,"
chr1,60226850,60409275,"60237442,60400215,"
chr1,60552200,60726425,"60623609,"
chr1,60752500,60911100,"60803231,"
chr1,60937050,61047350,"60965868,61034757,"
chr1,61623100,62390500,"61685397,"
chr1,62734650,62825000,"62749890,"
chr1,63113500,63260783,"63160841,63223396,63223404,63225596,63260783,"
chr1,63310300,63319842,"63319842,"
chr1,63486900,63525300,"63492477,"
chr1,63733501,63777198,"63733501,63776892,63777198,"
chr1,64004200,64024100,"64011300,"
chr1,64034950,64167963,"64167963,"
chr1,64517100,64626975,"64579377,"
chr1,64645550,64686175,"64663742,"
chr1,64737918,64820300,"64737918,64784324,"
chr1,65047150,65139500,"65079322,65097737,65110014,65120079,65120095,65128841,"
chr1,65154100,65225716,"65169767,65225716,"
chr1,65357830,65361200,"65357830,"
chr1,65973095,66215300,"65973095,"
chr1,66221902,66484000,"66221902,"
chr1,66515020,66653650,"66515020,"
chr1,66741300,66751300,"66747466,"
chr1,66777400,66930375,"66864169,66909841,"
chr1,66986325,67011450,"66991630,"
chr1,67068875,67085439,"67085439,"
chr1,67089200,67456000,"67169639,"
chr1,67497700,69162900,"69154633,"
chr1,69624600,69837350,"69732534,"
chr1,70750300,70964500,"70772288,"
chr1,71138650,71149546,"71149546,"
chr1,71594400,71603729,"71603729,"
chr1,71612250,71782375,"71699745,"
chr1,71924125,72027850,"71934685,"
chr1,72180950,72309850,"72258881,"
chr1,72325350,72343400,"72330888,72330946,"
chr1,72353994,72365300,"72353994,"
chr1,72491400,72596900,"72583138,"
chr1,72613400,72645625,"72629824,"
chr1,72654400,72901100,"72747138,72757833,72871076,"
chr1,72903300,72961325,"72921439,"
chr1,73046775,73131275,"73062473,"
chr1,73454143,73464850,"73454143,"
chr1,73926700,74219200,"74171021,74172114,74200567,"
chr1,74225400,74271300,"74241205,"
chr1,74273900,74356350,"74283123,74325173,74331240,74331607,74350910,"
chr1,74363025,74393600,"74379183,"
chr1,74415375,74573000,"74421776,74438182,74440883,74455957,74552633,"
chr1,74585300,74590933,"74589462,74590860,74590933,"
chr1,74622900,74682300,"74634602,74634934,74647971,74648028,"
chr1,74708327,74774250,"74708327,74760147,"
chr1,74781300,74795529,"74795529,"
chr1,74815200,75017825,"74818465,74838592,74901602,74931982,74939709,74947295,74982173,74998225,"
chr1,75121800,75287800,"75121800,75130464,75138942,75139359,75165219,75165308,75176857,75188497,75188708,75207353,75207403,75215828,75232997,75233276,75260783,75274955,"
chr1,75295650,75314212,"75313592,75314212,"
chr1,75353800,75427300,"75356918,75371871,75378688,75382184,75396659,"
chr1,75439200,75484850,"75447084,75476046,75476106,"
chr1,75489300,75536800,"75503027,75503651,75518103,"
chr1,75542840,75609700,"75542840,"
chr1,77374525,77626600,"77511663,"
chr1,78128050,78213575,"78193711,"
chr1,78289200,78419200,"78306920,"
chr1,78473900,78507634,"78485421,78507634,"
chr1,78645050,78717200,"78654399,78655014,"
chr1,78778500,79296200,"78813523,"
chr1,79432750,79467000,"79436665,"
chr1,79595200,79683800,"79668547,"
chr1,79691700,79764050,"79758344,"
chr1,79815850,79942600,"79855240,"
chr1,80210519,80234625,"80210519,"
chr1,80337005,80437675,"80337005,"
chr1,80583200,80850875,"80755128,"
chr1,80912800,81216100,"81073891,"
chr1,82198100,82326500,"82288014,82313153,"
chr1,82493800,82638100,"82583424,82583495,"
chr1,82651500,82751000,"82721492,"
chr1,82759700,82765031,"82765031,"
chr1,82795300,82908600,"82836057,"
chr1,83003350,83056300,"83035023,"
chr1,83063800,83153300,"83113340,"
chr1,83223050,83716700,"83404775,"
chr1,84034800,84299200,"84281220,"
chr1,84503450,84706700,"84692796,"
chr1,84719100,84920950,"84835879,84836415,"
chr1,84927800,84931658,"84931658,"
chr1,84937600,87546624,"85106428,85196185,85267141,87497277,87500466,87546624,"
chr1,87576050,87690021,"87633181,87690021,"
chr1,87749500,87929000,"87791084,87857630,87918516,"
chr1,87935350,87961193,"87942437,87961193,"
chr1,87966200,88008545,"88008545,"
chr1,88035900,88063900,"88051354,88051389,"
chr1,88068250,88234350,"88199795,"
chr1,88242000,88252902,"88247860,88252902,"
chr1,88256030,88275575,"88256030,88256148,"
chr1,88284716,88330250,"88284716,88322903,"
chr1,88468675,88511500,"88479076,88483674,"
chr1,88552400,88580300,"88567147,"
chr1,88600378,88629800,"88600378,"
chr1,88926700,89011600,"88986503,88998181,"
chr1,89021582,89096300,"89021582,89051602,89087226,"
chr1,89105900,89110513,"89110488,89110513,"
chr1,89122700,89346200,"89160938,89223572,89223603,89291304,"
chr1,89372000,89423900,"89406937,"
chr1,89430100,89491124,"89470445,89470601,89480596,89491124,"
chr1,89497950,89626175,"89516886,"
chr1,89652645,89694700,"89652645,89681145,"
chr1,89700254,89862300,"89700254,89749861,"
chr1,89869100,89911125,"89905126,"
chr1,89962600,89983075,"89967353,"
chr1,89995300,90092100,"89999831,90031383,90062586,"
chr1,90097185,90203286,"90097185,90102323,90108533,90123594,90174132,90174154,90203286,"
chr1,90295800,90350400,"90303593,"
chr1,90496800,90604300,"90598766,"
chr1,90953600,91046125,"90967036,"
chr1,91351385,91543550,"91351385,"
chr1,91546200,91580467,"91580467,"
chr1,91647000,91871600,"91827751,"
chr1,91911152,91919600,"91911152,"
chr1,92023250,92156525,"92049976,92100577,"
chr1,92488450,92499999,"92499999,"
chr1,92598500,92824300,"92811676,"
chr1,92829650,92866197,"92849684,92864244,92866197,"
chr1,92870925,92999575,"92895303,92950020,"
chr1,93063500,93169200,"93076398,93146895,"
chr1,93172700,93271100,"93194914,93218651,93247649,93263006,"
chr1,93287400,93295360,"93295360,"
chr1,93309799,93387400,"93309799,93355905,"
chr1,93437141,93538950,"93437141,93437656,"
chr1,93683450,93758000,"93698053,"
chr1,93966350,94063900,"94044970,"
chr1,94167150,94418425,"94370335,94377196,94388330,94415092,"
chr1,94426800,94484908,"94469701,94484908,"
chr1,94516457,94571450,"94516457,94538525,94538562,94545418,"
chr1,94583600,94795600,"94728262,94746954,"
chr1,94803565,94843100,"94803565,94807981,94830984,"
chr1,94847167,94998442,"94847167,94869695,94875479,94902910,94998442,"
chr1,95018100,95040900,"95031852,"
chr1,95043800,95057525,"95057447,95057525,"
chr1,95060850,95187500,"95132473,"
chr1,95231100,95298850,"95239365,95240221,95270472,"
chr1,95308375,95454100,"95375385,95375569,95375637,95408680,"
chr1,95496500,95556000,"95532304,"
chr1,95565000,95592325,"95582270,"
chr1,95609200,95669000,"95651415,95651609,"
chr1,95685000,95887085,"95698511,95700541,95721816,95757920,95887085,"
chr1,95917069,95977950,"95917069,95949130,"
chr1,97165050,98201800,"97210204,97564171,"
chr1,98702100,98768748,"98768748,"
chr1,99024880,99376800,"99024880,"
chr1,99486800,99558595,"99558595,"
chr1,99651400,99666755,"99666669,99666755,"
chr1,99682700,100317700,"99992209,100317700,"
chr1,106071000,106824300,"106665395,"
chr1,107160250,107281100,"107253287,"
chr1,107424800,107660700,"107560253,107560437,"
chr1,107667600,107715350,"107677299,"
chr1,107850600,107895450,"107886982,"
chr1,108068445,108256250,"108068445,"
chr1,108610867,108613950,"108610867,"
chr1,108633200,108709700,"108656319,108693302,"
chr1,108772300,108877560,"108831025,108877560,"
chr1,108948880,109258890,"108948880,108980057,109057691,109174948,109258890,"
chr1,109274525,109479900,"109319265,109407999,109408086,109425579,"
chr1,109486582,109707600,"109486582,"
chr1,110606000,113040900,"111880313,112873949,"
chr1,113182750,114352900,"113761495,"
chr1,120185300,120232525,"120207709,120218419,"
chr1,120246400,120290450,"120285634,"
chr1,120300750,120384350,"120355842,"
chr1,120519800,120609300,"120524521,"
chr1,120872500,121025100,"120950196,"
chr1,121150200,121339100,"121318825,"
chr1,121353675,121429650,"121401359,121422743,"
chr1,121436550,121687325,"121545577,"
chr1,121804000,121819150,"121809745,"
chr1,121888400,121891787,"121891787,"
chr1,121893575,121940800,"121903556,"
chr1,121947450,122021900,"121970357,122017496,122017673,122017763,"
chr1,122083550,122237158,"122161857,122167659,122237158,"
chr1,122355350,122419000,"122401661,"
chr1,122426300,122540900,"122499063,"
chr1,123193600,123224339,"123224339,"
chr1,123229157,123246400,"123229157,"
chr1,123327643,123330900,"123327643,"
chr1,123338100,123447050,"123425042,"
chr1,124290500,126197600,"125942136,"
chr1,127288100,127446775,"127332067,"
chr1,127457592,127509100,"127457592,"
chr1,127573572,127656900,"127573572,"
chr1,128221100,128596900,"128389504,"
chr1,128721200,128829875,"128727209,"
chr1,129101562,129222250,"129101562,"
chr1,129535450,129586900,"129574598,"
chr1,129599700,129670740,"129625989,129670740,"
chr1,129747000,129849450,"129765349,"
chr1,129956925,130131600,"129998985,129999882,130098937,"
chr1,130187700,130224895,"130224895,"
chr1,130290300,130328800,"130313993,"
chr1,130368425,130550475,"130488876,"
chr1,131025200,131221400,"131169880,"
chr1,132319576,132493300,"132319576,132359317,"
chr1,132526183,132672525,"132526183,132558195,132578148,132611153,132612398,132613903,132625830,132628552,"
chr1,132686300,132774050,"132697478,132723260,132762353,"
chr1,132783988,132807873,"132783988,132807873,"
chr1,132927200,133010300,"132994120,"
chr1,133017750,133066800,"133034811,133049783,"
chr1,133075700,133176140,"133141755,133176140,"
chr1,133238000,133427900,"133423938,133424565,"
chr1,133495690,133554650,"133495690,133534890,"
chr1,133566800,133599500,"133585271,"
chr1,133684000,133708500,"133693971,"
chr1,133724588,133743800,"133724588,"
chr1,133750850,133776300,"133763853,"
chr1,133787100,133839800,"133807034,"
chr1,133859543,133941750,"133859543,133867185,133904181,"
chr1,133946700,134013825,"133964639,"
chr1,134022175,134036262,"134036262,"
chr1,134041450,134187300,"134088012,134094664,"
chr1,134195202,134257900,"134195202,134212714,"
chr1,134275750,134287858,"134287858,"
chr1,134314029,134333050,"134314029,"
chr1,134379050,134677975,"134402806,134439517,134539435,134603903,134638374,"
chr1,134697600,134874200,"134776931,"
chr1,134904525,135043050,"134921925,134942588,135027742,"
chr1,135047300,135252150,"135142673,135206399,135223788,135247142,135247250,"
chr1,135260148,135328100,"135260148,135320789,"
chr1,135483100,135574900,"135506857,135557462,135557957,"
chr1,135578750,135821200,"135586593,135586685,135650028,135650098,135803750,135804576,135817978,"
chr1,135890100,135938625,"135934091,"
chr1,135975732,135980800,"135975732,"
chr1,136012050,136132008,"136078980,136090024,136132004,136132008,"
chr1,136168700,136255200,"136186580,136229505,"
chr1,136258576,136437975,"136258576,136282516,136302566,136312043,136352131,136391236,"
chr1,136443599,136494400,"136443599,136456754,"
chr1,136511100,136673500,"136543257,"
chr1,136683300,136859153,"136700175,136852517,136859153,"
chr1,136873150,137038450,"137001853,137029152,137029301,"
chr1,137043410,137064258,"137043410,137064258,"
chr1,137067850,137171900,"137155049,"
chr1,137221389,137299100,"137221389,137271640,"
chr1,137302500,137327068,"137327068,"
chr1,137368750,137496450,"137481932,"
chr1,137557600,137974400,"137625773,137662661,137695997,137696087,137715174,137732962,137732996,137737437,137815601,137904795,137914577,137914732,137949477,"
chr1,137980900,138157450,"138027977,138130841,138157450,"
chr1,138175175,138251500,"138242681,"
chr1,138283900,138354825,"138311847,138311893,138312096,"
chr1,138364534,138395900,"138364534,"
chr1,138741900,138914200,"138850207,138857025,"
chr1,139795500,139937700,"139863031,139863215,"
chr1,139943700,140252700,"140071882,140170314,"
chr1,140384450,140540900,"140516273,"
chr1,140659550,140753431,"140739021,140744156,140753431,"
chr1,140804550,140946700,"140860285,140864297,"
chr1,141224850,141309700,"141273653,"
chr1,141322800,141376900,"141351349,"
chr1,141392050,142086100,"141398283,141456799,141677816,141755276,142079988,"
chr1,145322600,145575450,"145487826,145549814,"
chr1,145586478,145601000,"145586478,145586697,145586744,145587576,"
chr1,145821800,145871050,"145851279,"
chr1,145999200,148267400,"146024502,146096234,146622551,"
chr1,148867900,151830500,"151808414,"
chr1,151856700,152197200,"151946896,151947253,152166546,"
chr1,152243700,152430950,"152313295,"
chr1,152601100,152927775,"152840565,"
chr1,153151600,153374200,"153191627,153275565,153275777,153347953,"
chr1,153391600,153497100,"153418502,"
chr1,153726525,153953500,"153937450,"
chr1,154236950,154322950,"154246996,"
chr1,154375925,154472241,"154472241,"
chr1,154597680,154608250,"154597680,"
chr1,154613671,154665650,"154613671,154655019,"
chr1,154696500,154742775,"154725298,"
chr1,154761150,155011250,"154802230,"
chr1,155020700,155179916,"155033577,155179916,"
chr1,155261319,155283200,"155261319,155272338,"
chr1,155334790,155433850,"155334790,155396844,"
chr1,155473550,155592200,"155500166,155587482,"
chr1,155596555,155616650,"155596555,"
chr1,155689650,155698325,"155698325,"
chr1,155703200,155805500,"155721474,155738775,155747074,"
chr1,156315250,156734550,"156573050,"
chr1,156876300,156946766,"156946766,"
chr1,156967850,157030525,"156993910,157005832,"
chr1,157183975,157285300,"157264574,"
chr1,157493450,157617900,"157589157,"
chr1,157625050,157668100,"157660029,"
chr1,157702125,157920950,"157820385,157881947,157882793,157882856,157883165,157883610,157887990,"
chr1,157926150,158135156,"158135156,"
chr1,158185700,158240865,"158233479,158240865,"
chr1,158309600,158488917,"158330121,158404459,158488917,"
chr1,158492250,158611050,"158604470,"
chr1,158640925,158718250,"158649041,"
chr1,158761650,158800600,"158769153,"
chr1,158821025,159016500,"158869518,158869757,"
chr1,159031250,159044300,"159038776,"
chr1,159098650,159406100,"159342482,159342726,159388712,"
chr1,159436926,159448750,"159436926,"
chr1,159456300,159479575,"159456300,"
chr1,160182400,160351550,"160286391,160292470,"
chr1,160394750,160563300,"160435755,"
chr1,161155600,161302350,"161162456,161270437,"
chr1,161423750,161482075,"161453899,"
chr1,161921000,162035600,"161974510,"
chr1,162083706,162125390,"162083706,162125390,"
chr1,162134625,162248250,"162142908,"
chr1,162449700,162527025,"162507884,"
chr1,162673600,162785975,"162723069,"
chr1,162836541,162898350,"162836541,"
chr1,162908736,162956700,"162908736,"
chr1,162960250,162970050,"162964390,162965296,162968222,"
chr1,163000763,163006000,"163000763,163001022,"
chr1,163072842,163085300,"163072842,"
chr1,163163475,163242000,"163181297,"
chr1,163308775,163351100,"163325568,"
chr1,163382450,163486900,"163424787,"
chr1,163675300,164161800,"163718626,163806792,163899318,164147753,164147944,164153498,"
chr1,164286850,164408165,"164408161,164408165,"
chr1,164490700,164500958,"164500958,"
chr1,164554900,164588350,"164569280,164588350,"
chr1,164708650,164828843,"164742680,164796679,164828843,"
chr1,164840950,164989300,"164914622,"
chr1,165122150,165329500,"165243781,"
chr1,165654900,165751925,"165655363,165709809,"
chr1,165978364,166053832,"165978364,165992206,166053832,"
chr1,166057400,166116950,"166081989,"
chr1,166134100,166190900,"166179185,"
chr1,166198125,166216200,"166205728,"
chr1,166224600,166237805,"166237615,166237805,"
chr1,166295950,166489900,"166388486,"
chr1,167075000,167128975,"167090904,167124564,"
chr1,167142625,167167089,"167167089,"
chr1,167225896,167247550,"167225896,"
chr1,167309650,167451900,"167390594,167391338,167415313,"
chr1,167494550,167925000,"167564672,167638225,167693910,167718819,167865031,"
chr1,167932765,168019550,"167932765,"
chr1,168052050,168101100,"168058029,168060590,"
chr1,168174250,168260000,"168184269,"
chr1,168309297,168339959,"168309297,168339959,"
chr1,168611976,168632000,"168611976,"
chr1,168931547,169013700,"168931547,"
chr1,169152650,169257500,"169215258,169238800,"
chr1,169267300,169323928,"169280121,169323928,"
chr1,169371400,169482075,"169396911,"
chr1,169519350,169528492,"169528492,"
chr1,169533275,169553625,"169548395,"
chr1,169590800,169619688,"169619688,"
chr1,170055100,170390300,"170362389,"
chr1,171413100,171512200,"171461595,"
chr1,171531800,171681300,"171585631,171677773,"
chr1,171840775,171880000,"171859069,"
chr1,171899336,172066825,"171899336,172019075,"
chr1,172095300,172111300,"172105077,"
chr1,172145524,172156000,"172145524,"
chr1,172184875,172224200,"172207454,"
chr1,172290600,172519980,"172487241,172519980,"
chr1,172533550,172654600,"172574662,"
chr1,172774800,172960200,"172797902,172815671,172843072,172857714,172906202,172949056,"
chr1,172963200,173090200,"172989534,173051791,173080734,173080843,"
chr1,173095700,173126399,"173126399,"
chr1,173135375,173180552,"173144100,173152645,173155184,173164480,173177243,173180552,"
chr1,173205500,173241900,"173211317,173218092,173225113,"
chr1,173264500,173290929,"173275757,173275829,173290929,"
chr1,173319090,173408000,"173319090,173341811,173349163,173367691,"
chr1,173430300,173437300,"173433608,"
chr1,173465424,173896000,"173465424,173489323,173537491,173583168,173612185,173697262,173770709,173847667,"
chr1,173910500,174001700,"173957399,173987727,"
chr1,174008700,174136912,"174012659,174012880,174056885,174078145,174136912,"
chr1,174150026,174188555,"174150026,174188555,"
chr1,174203375,174295050,"174228195,174242537,174259394,174271340,"
chr1,174306661,174367150,"174306661,"
chr1,174370700,174467300,"174405490,174412343,174412447,174430376,174451260,"
chr1,174470825,174486068,"174486068,"
chr1,174490036,174503800,"174490036,"
chr1,174515750,174549600,"174520699,174532682,"
chr1,174557800,174569150,"174563105,"
chr1,174583500,174642250,"174628186,"
chr1,174716050,175200277,"174825185,174886898,175061346,175114635,175133488,175145737,175157360,175200277,"
chr1,175252000,176321176,"175263634,175297826,175350734,175466088,175529405,175560989,175603810,175697050,175810318,175843053,175872591,175872623,175912975,175961886,175972063,175980505,175999430,176019168,176029590,176048145,176066876,176081611,176088852,176102906,176181107,176260648,176299049,176321176,"
chr1,176354700,176452700,"176360560,176378755,176431955,"
chr1,176756900,176851950,"176851950,"
chr1,176979200,177422676,"177422676,"
chr1,177516925,177604825,"177555766,177562323,"
chr1,177607700,177618484,"177618484,"
chr1,177880900,177976925,"177909247,"
chr1,178661900,178702554,"178702554,"
chr1,178719900,178764750,"178737255,178744942,"
chr1,179178898,179197850,"179178898,"
chr1,179374791,179429200,"179374791,179375951,"
chr1,179659944,179716900,"179659944,"
chr1,179735200,180179300,"179921565,180117547,"
chr1,180336011,180342750,"180336011,"
chr1,180378050,180709700,"180459255,"
chr1,181432725,181476659,"181448134,181476398,181476659,"
chr1,181598361,181607300,"181598361,"
chr1,181881600,182058800,"181891219,"
chr1,182100350,182130125,"182123616,182126151,"
chr1,182180725,182215050,"182186431,"
chr1,182219350,182477325,"182260606,182260680,182413635,"
chr1,182494750,182615600,"182499105,182571464,"
chr1,182627165,182712850,"182627165,182656173,"
chr1,182724025,182818800,"182743734,182781281,"
chr1,182830600,182865169,"182834404,182865169,"
chr1,182872648,182976950,"182872648,182947626,"
chr1,182981367,182998600,"182981367,"
chr1,183047600,183086600,"183074288,183081061,"
chr1,183094650,183202675,"183142109,"
chr1,183282758,183432200,"183282758,"
chr1,183441150,183519600,"183441582,"
chr1,183769100,184042250,"183772532,183950111,"
chr1,184082350,184222400,"184088229,184212890,"
chr1,184271737,184308900,"184271737,"
chr1,184342650,184520000,"184447614,184495137,"
chr1,184649150,184685800,"184679311,"
chr1,184695036,184838500,"184695036,"
chr1,184875300,184896800,"184884918,"
chr1,185817000,185908700,"185857877,185858339,"
chr1,186414150,186720875,"186556372,186635192,186669726,186706915,"
chr1,186810975,186823428,"186823428,"
chr1,187028046,187087100,"187028046,"
chr1,187095450,187138000,"187137197,187137459,"
chr1,187156037,187160175,"187156037,"
chr1,187165550,187205200,"187186973,"
chr1,187225500,187339675,"187278726,187321184,"
chr1,188426175,188586600,"188529871,188573237,"
chr1,188779525,188827925,"188791294,"
chr1,189013300,189054500,"189039325,189039389,"
chr1,189821737,189854950,"189821737,"
chr1,190086716,190118550,"190086716,"
chr1,190766100,190847400,"190831719,"
chr1,191472500,191545400,"191511965,"
chr1,191552146,191698475,"191552146,"
chr1,191705050,191769800,"191746167,"
chr1,191831000,192065950,"191994559,"
chr1,192735649,192743450,"192735649,"
chr1,192764600,192826400,"192802877,192803175,"
chr1,192860700,193007212,"192860700,192886811,192886899,192922292,192988696,193007212,"
chr1,193018125,193159250,"193141997,193149843,"
chr1,193187150,193399612,"193220920,193399413,193399612,"
chr1,193517000,193609750,"193541902,193542273,"
chr1,193630475,193687675,"193645351,"
chr1,193730659,193755175,"193730659,193731406,"
chr1,193771400,193939975,"193801253,193916445,"
chr1,193943500,193961669,"193960779,193961669,"
chr1,194003750,194071175,"194014753,"
chr1,194498000,194644100,"194597413,"
chr1,194652750,194701900,"194677941,194681946,"
chr1,194765550,194884000,"194861892,"
chr1,194892800,194956445,"194956445,"
chr1,194960000,195128187,"194979305,194999662,194999770,195027740,195068554,195090239,195099382,195128187,"
chr1,195132100,195196476,"195196476,"
chr1,195311900,195392800,"195333724,"
chr1,196387100,196614800,"196446022,"
chr1,196705675,196866600,"196765014,196803153,196843592,196863233,196863740,"
chr1,196923450,196999000,"196957764,"
chr2,3007400,3134350,"3035659,"
chr2,3184300,3201559,"3201559,"
