Chromosome;Start;End;Name;Length;Strand;Half-life (h);k (cpm/h);stderror Half-life;stderror k;Rsquare
chr11;78290367;78290625;2610507B11Rik;258;+;5.502390366;0.125972011;1.327940287;0.040073137;0.903768689
chr1;157419986;157420236;2810025M15Rik;250;+;7.203211047;0.096227526;2.881045497;0.064142819;0.750522626
chr3;88712604;88712933;2810403A07Rik;329;+;2.112665343;0.328091329;0.451703231;0.089225343;0.896225665
chr6;149335406;149335663;2810474O19Rik;257;+;2.490665609;0.278297969;0.429243416;0.057949105;0.928064662
chr13;119485860;119486118;4833420G17Rik;258;+;2.200423228;0.315006301;0.359344333;0.061483367;0.933299144
chr12;113164295;113164545;4930427A07Rik;250;+;1.995573981;0.347342262;0.615369919;0.154864042;0.661185402
chr9;58469373;58469623;4930461G14Rik;250;+;3.315785107;0.209044663;1.272231902;0.130142581;0.666783553
chr3;37052783;37053033;4932438A13Rik;250;+;2.666942914;0.259903269;0.54271163;0.06640168;0.874542837
chr3;90062188;90062438;4933434E20Rik;250;+;2.165290618;0.32011739;0.72857682;0.162335818;0.735953037
chr5;48388586;48388844;5730480H06Rik;258;+;2.183710134;0.317417211;0.408835453;0.073115815;0.892085913
chr4;156127011;156127264;9430015G10Rik;253;+;2.530114932;0.273958772;0.784369047;0.123090527;0.72931082
chr11;52408473;52408725;9530068E07Rik;252;+;2.660419134;0.260540594;1.037997732;0.166689459;0.618122435
chr4;153961674;153961924;A430005L14Rik;250;+;1.938880556;0.35749865;0.250273521;0.052985949;0.959336136
chrX;159592706;159593081;A830080D01Rik;375;+;1.809915021;0.382972224;0.358564307;0.094615429;0.871121866
chr11;83294387;83294637;AA465934;250;+;2.923826931;0.237068471;0.613454544;0.062946879;0.899149992
chr5;125517153;125517412;Aacs;259;+;4.932605723;0.140523532;1.865594475;0.085477328;0.706684323
chr9;63641639;63641897;Aagab;258;+;3.620134449;0.19147001;0.765554134;0.051349285;0.896317535
chr6;87002971;87003227;Aak1;256;+;2.448856737;0.283049298;0.713461295;0.116368128;0.765960696
chr2;156567903;156568156;Aar2;253;+;1.714536342;0.40427675;0.414647022;0.128958788;0.819908985
chr15;52045470;52045722;Aard;252;+;4.400378644;0.157519895;1.492226386;0.080826354;0.75734681
chr8;111055315;111055569;Aars;254;+;4.343671757;0.159576326;1.084150502;0.053076738;0.857242416
chr16;14474601;14474878;Abcc1;277;+;2.361528164;0.293516373;0.526344588;0.084182725;0.835125045
chr6;58692198;58692451;Abcg2;253;+;5.261853689;0.131730607;2.235076804;0.097274439;0.676013859
chr5;135011919;135012175;Abhd11;256;+;5.362019095;0.129269808;1.717442627;0.060916126;0.779691424
chr8;9988797;9989050;Abhd13;253;+;2.015277392;0.343946289;0.565739717;0.134238716;0.793629764
chr17;35102735;35102987;Abhd16a;252;+;2.368496682;0.292652798;0.750205955;0.135667756;0.744782094
chr19;21685384;21685640;Abhd17b;256;+;1.930387451;0.359071533;0.427065555;0.102005488;0.859725874
chr7;79365255;79365505;Abhd2;250;+;3.867247361;0.179235284;1.440551662;0.106398873;0.700046242
chr14;54268914;54269169;Abhd4;255;+;5.2185835;0.132822859;1.686020214;0.063393634;0.793106045
chr14;8055778;8056028;Abhd6;250;+;4.496097196;0.154166414;1.706838654;0.094339478;0.656479819
chr2;31803284;31803538;Abl1;254;+;3.236347645;0.214175749;0.987992597;0.094115053;0.759643729
chr1;156649316;156649619;Abl2;303;+;1.540414867;0.449974351;0.285043654;0.102170842;0.894906699
chr9;119350045;119350299;Acaa1a;254;+;5.869241232;0.118098261;1.985292469;0.060366293;0.760615154
chr11;84401395;84401651;Acaca;256;+;4.979096352;0.139211442;1.64836822;0.068895361;0.70811403
chr7;131445950;131446211;Acadsb;261;+;3.90918439;0.17731248;1.008398071;0.061638998;0.76719434
chr1;180753953;180754207;Acbd3;254;+;1.99035252;0.348253475;0.666216525;0.175217818;0.71848579
chr1;155572037;155572287;Acbd6;250;+;5.840050817;0.118688553;2.628634629;0.097149924;0.617036727
chr4;86932240;86932620;Acer2;380;+;1.522458477;0.455281501;0.537947538;0.248770788;0.634045856
chr4;40198081;40198334;Aco1;253;+;6.260968998;0.11070925;2.271363187;0.063029012;0.778576149
chr15;81914787;81915137;Aco2;350;+;7.64070985;0.090717642;1.456508855;0.021365905;0.94865554
chr4;152271597;152271855;Acot7;258;+;8.892349711;0.077948709;4.534596496;0.081111969;0.612252278
chrX;155297403;155297654;Acot9;251;+;5.140127174;0.134850201;1.002083647;0.032655814;0.919959077
chr3;97176267;97176576;Acp6;309;+;4.617403987;0.150116209;1.480288765;0.070834292;0.723148808
chr1;78706727;78706977;Acsl3;250;+;3.549800383;0.195263707;0.770508867;0.05413337;0.902483773
chr3;32726719;32726971;Actl6a;252;+;5.005139081;0.138487097;0.901992277;0.030443535;0.94201325
chr12;70961814;70962284;Actr10;470;+;4.720945522;0.146823804;0.722099768;0.026513009;0.956243736
chr5;25850218;25850691;Actr3b;473;+;3.988418517;0.173789982;0.853881722;0.04734227;0.907085118
chr2;158638947;158639211;Actr5;264;+;1.927184774;0.359668253;0.475401489;0.117777098;0.796391516
chr14;29992896;29993221;Actr8;325;+;2.352750984;0.294611366;0.317935982;0.046032467;0.950170922
chr15;101213428;101213681;Acvr1b;253;+;3.174265985;0.218364555;1.244929016;0.140902484;0.644928854
chr9;70779978;70780229;Adam10;251;+;2.52589383;0.274416594;0.583511975;0.082437636;0.833234745
chr3;89753195;89753455;Adar;260;+;3.768285223;0.183942334;1.577803266;0.132493589;0.600886569
chr5;34632043;34632308;Add1;265;+;5.34426516;0.12969925;1.836367828;0.06789695;0.778522558
chr15;74589214;74589464;Adgrb1;250;+;3.631701064;0.190860197;1.080571091;0.080841828;0.808990079
chr8;83941696;83941954;Adgrl1;258;+;4.106272266;0.168802051;1.251970742;0.074040961;0.699209022
chr3;138455070;138455499;Adh5;429;+;9.079796501;0.076339506;3.43341326;0.046419993;0.821162721
chr1;134432083;134432349;Adipor1;266;+;3.629328479;0.190984967;0.86143017;0.059438677;0.810179211
chr14;21448310;21448569;Adk;259;+;3.508207792;0.197578713;0.978470232;0.076420927;0.723956452
chr9;59315946;59316200;Adpgk;254;+;3.937777007;0.176024996;1.303751449;0.087126278;0.734942703
chr2;180176033;180176288;Adrm1;255;+;2.969298233;0.233438047;0.884958118;0.099111893;0.671464423
chr15;80969053;80969306;Adsl;253;+;4.120818772;0.168206179;1.343931441;0.081406822;0.766819489
chr6;140652459;140652821;Aebp2;362;+;1.212846102;0.571504645;0.152943845;0.082468093;0.95561139
chr7;78908125;78908382;Aen;257;+;2.726769298;0.254200889;0.454254491;0.050812384;0.932207835
chr10;81565915;81566371;Aes;456;+;7.334181365;0.094509141;1.916380666;0.033429707;0.884485306
chr17;13905434;13905798;Afdn;364;+;2.640404038;0.262515574;0.436591512;0.052006271;0.913567386
chr11;53420803;53421238;Aff4;435;+;3.772936352;0.183715577;0.933670062;0.060413402;0.864630119
chr8;123503665;123503916;Afg3l1;251;+;5.681519519;0.122000317;1.775795768;0.05546927;0.77799082
chr1;89895027;89895282;Agap1;255;+;2.207102211;0.31405305;0.712098253;0.149589322;0.70817195
chr5;24482934;24483184;Agap3;250;+;4.51906013;0.15338304;1.499042699;0.076134569;0.705032192
chr5;24501790;24502047;Agap3;257;+;3.961455942;0.174972836;1.379785769;0.093515055;0.747939193
chr1;82895417;82895675;Agfg1;258;+;2.97596518;0.232915084;0.47826326;0.044598888;0.926182909
chr1;82900745;82901001;Agfg1;256;+;2.262784186;0.306324918;0.542514211;0.096604384;0.775421212
chr6;40396512;40396762;Agk;250;+;3.033094707;0.228528037;0.849790474;0.088948185;0.803667912
chr17;34613165;34613449;Agpat1;284;+;4.334386771;0.159918165;0.674121428;0.029452581;0.943616702
chr8;18881719;18882055;Agpat5;336;+;5.569003265;0.124465214;2.285300045;0.086621823;0.677596564
chr8;18883167;18883417;Agpat5;250;+;2.534362493;0.273499621;0.80768578;0.127934635;0.698091591
chr2;75929397;75929647;Agps;250;+;2.124569565;0.326252994;0.342035799;0.062602014;0.93497212
chr19;9018945;9019196;Ahnak;251;+;4.149100121;0.167059642;1.105836225;0.06070476;0.828252923
chr12;87273702;87273997;Ahsa1;295;+;4.675068842;0.148264593;0.763797411;0.028953274;0.95304378
chr1;43115696;43115947;AI597479;251;+;1.909546354;0.362990497;0.572400042;0.155387465;0.749565506
chr19;5427045;5427316;AI837181;271;+;1.007491912;0.687992799;0.276118732;0.259741134;0.690703472
chr1;183323358;183323613;Aida;255;+;5.351280982;0.129529207;2.329043714;0.099819822;0.636926086
chr4;134092252;134092504;Aim1l;252;+;4.922863069;0.140801637;1.458712458;0.059289888;0.780136705
chr2;32634808;32635058;Ak1;250;+;9.703564696;0.071432221;4.71219105;0.067436802;0.718704682
chr4;129011279;129011531;Ak2;252;+;5.527587993;0.125397765;1.241514815;0.036323034;0.882575673
chr13;100666108;100666415;Ak6;307;+;3.52527213;0.196622319;0.985604518;0.076305988;0.804647386
chr10;4359221;4359472;Akap12;251;+;3.805364106;0.182150029;0.451873524;0.024544209;0.971461122
chr4;57896734;57896984;Akap2;250;+;3.189663848;0.217310417;0.778176957;0.070125183;0.857847393
chr4;34566658;34566909;Akirin2;251;+;2.388257844;0.290231301;0.455363554;0.068374539;0.920862863
chr4;139318164;139318425;Akr7a5;261;+;7.261888692;0.095449987;2.904758646;0.06363344;0.749933371
chr7;27639195;27639453;Akt2;258;+;3.228528591;0.214694453;0.513675764;0.040622216;0.938221073
chr4;139649441;139649691;Aldh4a1;250;+;5.002956593;0.13854751;1.706069847;0.071695435;0.67491509
chr16;5244653;5244907;Alg1;254;+;3.056339338;0.226789994;0.472045692;0.041425339;0.945824205
chr15;90233219;90233469;Alg10b;250;+;2.963065687;0.233929063;1.066108091;0.131470344;0.703119192
chr8;22071267;22071627;Alg11;360;+;3.014238809;0.229957619;0.728939601;0.073349352;0.870084965
chr3;54749186;54749436;Alg5;250;+;3.693537146;0.187664873;0.920997325;0.062339536;0.814023717
chr4;99763207;99763460;Alg6;253;+;3.036669335;0.228259025;0.850505189;0.088801879;0.663982661
chr7;97391908;97392158;Alg8;250;+;2.817155208;0.246045081;0.819483476;0.100932438;0.702685405
chr5;136141342;136141614;Alkbh4;272;+;1.708909108;0.405607985;0.535941442;0.185326616;0.749294658
chr11;60555649;60555905;Alkbh5;256;+;3.474703935;0.19948381;0.97858883;0.078206581;0.833692533
chr11;60558262;60558513;Alkbh5;251;+;3.658520269;0.189461074;1.208645086;0.093470556;0.727736211
chr18;31783518;31783768;Ammecr1l;250;+;1.60789572;0.431089636;0.229502072;0.071776277;0.949441848
chr9;102733161;102733417;Amotl2;256;+;1.375931285;0.503765841;0.192498838;0.081943282;0.948764971
chr13;19150664;19150920;Amph;256;+;2.259374442;0.30678721;0.79546164;0.166702181;0.709646331
chr9;108302046;108302303;Amt;257;+;5.068783517;0.136748231;1.071159583;0.03664156;0.905006711
chr11;120605425;120605774;Anapc11;349;+;6.787856363;0.10211577;1.479865439;0.02846983;0.934611022
chr7;101899284;101899545;Anapc15;261;+;7.213866887;0.096085385;2.922536082;0.065437278;0.729559933
chr2;25285353;25285612;Anapc2;259;+;4.64146489;0.149338021;1.333304976;0.060188483;0.821230244
chr5;52866484;52866741;Anapc4;257;+;3.946196497;0.175649434;0.951556087;0.055813141;0.854142776
chr5;122444196;122444451;Anapc7;255;+;2.183443699;0.317455944;0.681748295;0.144120471;0.734661686
chr15;27594655;27594907;Ank;252;+;3.617025208;0.1916346;1.357619466;0.115148359;0.624535737
chr5;110256401;110256651;Ankle2;250;+;3.097513753;0.223775336;1.10278146;0.123713489;0.658677284
chr12;36197035;36197292;Ankmy2;257;+;3.188852773;0.217365689;1.008450811;0.100533117;0.755846742
chr13;98273662;98273918;Ankra2;256;+;5.354505039;0.129451215;2.45623499;0.109707721;0.623180943
chr5;114805569;114805820;Ankrd13a;251;+;7.183868293;0.096486621;3.421867115;0.08776297;0.648365977
chr3;158007770;158008034;Ankrd13c;264;+;3.808767796;0.181987251;1.243288118;0.088195042;0.791378802
chr7;35638974;35639237;Ankrd27;263;+;3.840708425;0.180473783;0.832216194;0.049923082;0.901159555
chr13;96909541;96909796;Ankrd31;255;+;2.750165847;0.25203832;0.51691866;0.058338061;0.921696492
chr11;94341597;94341847;Ankrd40;250;+;4.623610331;0.149914705;1.902764986;0.104839642;0.680478706
chr15;95975220;95975472;Ano6;252;+;3.494927188;0.198329505;1.216812869;0.105934058;0.682332913
chr9;62377574;62377824;Anp32a;250;+;4.981555314;0.139142725;0.989499963;0.034488931;0.91010713
chr9;62378554;62378805;Anp32a;251;+;3.493532513;0.198408682;1.07022106;0.087624374;0.750323155
chr4;46472275;46472656;Anp32b;381;+;4.999686062;0.138638141;0.878979606;0.029572623;0.946109568
chr3;95945315;95945565;Anp32e;250;+;7.507196687;0.092331027;2.384068633;0.042966622;0.85985899
chr3;95947137;95947389;Anp32e;252;+;4.35354061;0.159214589;0.925707711;0.042996896;0.915618559
chr11;5042331;5042794;Ap1b1;463;+;4.476622383;0.154837089;1.033224599;0.046460357;0.892029583
chr8;109861105;109861541;Ap1g1;436;+;3.224144483;0.214986389;1.073536311;0.107316478;0.704048322
chr8;109863949;109864209;Ap1g1;260;+;3.008938409;0.230362702;0.534882879;0.049803678;0.928929615
chr8;72257136;72257387;Ap1m1;251;+;6.687312704;0.103651079;2.144781247;0.048939428;0.794637569
chrX;163929295;163929546;Ap1s2;251;+;5.533749891;0.125258133;2.013989896;0.071672107;0.774856148
chr7;141632749;141633011;Ap2a2;262;+;5.739745188;0.120762709;1.927475198;0.061057356;0.807970956
chr11;83404783;83405036;Ap2b1;253;+;4.108541071;0.168708836;0.699361797;0.034609067;0.916450721
chr16;20543656;20544052;Ap2m1;396;+;7.930535648;0.087402316;2.471957395;0.039580783;0.864147575
chr7;16749040;16749296;Ap2s1;256;+;7.524175405;0.092122677;1.912396455;0.031393803;0.906593084
chr13;94565953;94566316;Ap3b1;363;+;4.525104439;0.153178162;1.711759468;0.093200148;0.706718939
chr18;46790365;46790826;Ap3s1;461;+;5.296014388;0.13088091;1.782229243;0.066384191;0.742805306
chr3;103821773;103822025;Ap4b1;252;+;1.965128408;0.352723607;0.504668064;0.12188509;0.812085118
chr5;142477548;142477804;Ap5z1;256;+;4.617726755;0.150105716;1.683570361;0.086128175;0.721602628
chr18;62953553;62953803;Apcdd1;250;+;2.634601738;0.263093723;0.705462172;0.096210079;0.819657757
chr14;50926888;50927188;Apex1;300;+;4.607208985;0.150448391;0.962077137;0.039708566;0.920915495
chr3;95897212;95897469;Aph1a;257;+;5.425461326;0.127758201;1.433262669;0.045867222;0.882536192
chr15;79907656;79907906;Apobec3;250;+;4.871799416;0.142277446;1.639272186;0.07215143;0.787272428
chrX;112372505;112372755;Apool;250;+;9.423950547;0.073551657;4.721905562;0.073862326;0.683424662
chrX;20860137;20860521;Araf;384;+;5.70513634;0.121495288;1.818696985;0.056854898;0.808673645
chr11;103985081;103985350;Arf2;269;+;2.461082333;0.281643231;0.413236263;0.056832981;0.934807474
chr14;26656592;26656842;Arf4;250;+;5.000355924;0.138619569;0.936235693;0.031933255;0.932796216
chr6;28426249;28426603;Arf5;354;+;9.452890225;0.073326482;3.214624953;0.037785687;0.872272648
chr12;69373531;69373785;Arf6;254;+;2.591415596;0.267478201;0.535220918;0.069623723;0.90377219
chr12;69375729;69375980;Arf6;251;+;2.337505889;0.296532806;0.375933533;0.056830239;0.936061926
chr2;180982061;180982524;Arfgap1;463;+;2.102622485;0.329658408;0.399802616;0.077400021;0.90361758
chr2;91276680;91276930;Arfgap2;250;+;2.301371698;0.301188713;0.533940505;0.090989032;0.838324773
chr2;91672070;91672320;Arhgap1;250;+;3.603017959;0.192379607;0.854260571;0.059787857;0.836607056
chr11;97501964;97502400;Arhgap23;436;+;1.719856324;0.403026213;0.568964897;0.199243614;0.676182021
chr9;32264516;32264766;Arhgap32;250;+;2.262217153;0.3064017;0.697716462;0.1366452;0.692364444
chr12;52568584;52568834;Arhgap5;250;+;3.284245027;0.211052213;0.996291763;0.091902918;0.783640041
chr7;24926335;24926591;Arhgef1;256;+;4.921543439;0.140839391;1.282937514;0.049658617;0.854385427
chr8;3456350;3456600;Arhgef18;250;+;2.218607673;0.312424404;0.8116911;0.180246727;0.631082007
chr3;88647801;88648052;Arhgef2;251;+;1.847386206;0.375204263;0.630177991;0.194252278;0.690532069
chr8;11834965;11835217;Arhgef7;252;+;2.442103306;0.283832047;0.606177924;0.093714441;0.856937248
chr10;88743839;88744092;Arl1;253;+;6.235308865;0.111164851;2.829453625;0.092351485;0.668293812
chr18;46933972;46934223;Arl14epl;251;+;4.085838996;0.16964623;1.278260057;0.077238077;0.768011678
chr8;94674170;94674457;Arl2bp;287;+;5.082596187;0.136376599;1.132048713;0.039079382;0.895555709
chr2;15082201;15082451;Arl5b;250;+;2.532286539;0.273723834;0.709183112;0.106477953;0.799791995
chr5;124117943;124118196;Arl6ip4;253;+;4.991133284;0.13887571;1.31352428;0.049601961;0.86081089
chr6;97233057;97233371;Arl6ip5;314;+;4.884430342;0.141909523;1.869074518;0.08796291;0.695503607
chr2;53218194;53218486;Arl6ip6;292;+;1.626616802;0.426128133;0.347223609;0.115649941;0.829967992
chr1;135156018;135156269;Arl8a;251;+;3.498818832;0.198108909;1.085950691;0.089162148;0.807969482
chr6;108823297;108823723;Arl8b;426;+;3.649140673;0.189948057;0.74011439;0.04832658;0.901318825
chr5;21662342;21662600;Armc10;258;+;3.847855683;0.18013856;0.767894943;0.044912095;0.920367501
chr7;128244843;128245100;Armc5;257;+;1.211256602;0.572254615;0.376608974;0.258212228;0.715534934
chrX;134721661;134721912;Armcx1;251;+;3.824271217;0.181249483;1.101341648;0.073309867;0.788448087
chrX;135747076;135747326;Armcx5;250;+;2.927063043;0.236806372;0.935322927;0.111204483;0.778215382
chr10;4454885;4455140;Armt1;255;+;2.618439092;0.264717702;0.592195306;0.077367088;0.842894926
chr3;95496988;95497239;Arnt;251;+;3.799208305;0.182445164;0.955592381;0.061310392;0.849225046
chr7;113313874;113314126;Arntl;252;+;2.763308746;0.250839571;0.947399666;0.130868516;0.685305481
chr5;145108506;145108757;Arpc1a;251;+;7.287696503;0.095111971;2.488364597;0.049313793;0.826049867
chr5;145127935;145128186;Arpc1b;251;+;7.01934977;0.098748061;2.777794477;0.064670103;0.756009609
chr1;74267963;74268213;Arpc2;250;+;4.20558993;0.164815684;0.78900565;0.038061554;0.926086388
chr5;122405925;122406181;Arpc3;256;+;11.51362168;0.060202359;5.280815434;0.051007128;0.796158613
chr6;113389405;113389655;Arpc4;250;+;4.407753156;0.157256352;0.663963269;0.027889504;0.952091273
chr1;152775318;152775580;Arpc5;262;+;4.935549372;0.140439722;1.437365744;0.05770516;0.828320962
chr2;39015343;39015593;Arpc5l;250;+;3.790326626;0.182872678;0.735019901;0.043993965;0.919745054
chr2;39015622;39015872;Arpc5l;250;+;4.438317096;0.156173425;1.859320229;0.112592773;0.656272999
chr9;75056575;75056825;Arpp19;250;+;6.087978169;0.11385507;1.9712852;0.054519688;0.765442726
chr11;70440424;70440828;Arrb2;404;+;3.334359862;0.207880136;0.546043137;0.040709694;0.933549307
chr13;80895788;80896043;Arrdc3;255;+;1.018574806;0.680506897;0.111830721;0.083928396;0.967422575
chr8;124733873;124734123;Arv1;250;+;0.731121753;0.948059852;0.17150368;0.290547718;0.77208298
chrX;136034041;136034296;Arxes1;255;+;3.417046917;0.20284977;0.591639626;0.042476694;0.931295283
chrX;136034678;136034946;Arxes1;268;+;4.483382278;0.154603631;1.466294788;0.075136866;0.747318512
chrX;135995101;135995359;Arxes2;258;+;3.570478057;0.194132878;0.731860441;0.050051889;0.907318532
chr1;91559333;91559590;Asb1;257;+;3.792361431;0.182774557;1.64724267;0.140353091;0.61992762
chr10;53607811;53608061;Asf1a;250;+;4.349791418;0.15935182;1.245025495;0.063900817;0.839524348
chr8;83969908;83970196;Asf1b;288;+;2.273357829;0.304900166;0.356081148;0.056626778;0.936645139
chr2;153401840;153402099;Asxl1;259;+;3.345727416;0.207173835;1.003623213;0.08877678;0.78078825
chr2;153403757;153404007;Asxl1;250;+;2.328008206;0.297742585;0.619388981;0.107934216;0.802286726
chr12;5047136;5047410;Atad2b;274;+;2.248746837;0.30823709;0.3241999;0.051924134;0.943774477
chr15;100260823;100261248;Atf1;425;+;3.542134314;0.195686306;0.694984279;0.047766681;0.912921609
chr15;80257295;80257547;Atf4;252;+;2.077118645;0.333706109;0.238993487;0.043388551;0.971338755
chr17;34654772;34655074;Atf6b;302;+;4.499918589;0.154035494;1.164574517;0.0537833;0.864957239
chr6;136606816;136607379;Atf7ip;563;+;1.285395153;0.539248323;0.261857627;0.137959071;0.862576447
chr6;136610593;136610846;Atf7ip;253;+;2.206008316;0.31420878;0.337812704;0.056816169;0.948337779
chr15;101290684;101290949;Atg101;265;+;2.668094037;0.259791136;0.386580621;0.044019123;0.954247299
chr1;87792165;87792428;Atg16l1;263;+;2.049601966;0.338186239;0.454603687;0.096389265;0.880649268
chr1;93787932;93788182;Atg4b;250;+;5.9425815;0.116640753;2.390216391;0.078481978;0.669207868
chr1;93789176;93789529;Atg4b;353;+;3.116887003;0.222384443;1.093035721;0.120104744;0.72306067
chr9;21273495;21273753;Atg4d;258;+;3.178044457;0.218104935;0.969691756;0.09577028;0.731968649
chr10;44364041;44364299;Atg5;258;+;4.339152624;0.159742521;1.535333908;0.087472884;0.740303733
chr1;71579153;71579406;Atic;253;+;6.168214895;0.112374032;1.407664059;0.033228274;0.92221447
chr8;116957994;116958244;Atmin;250;+;2.435448784;0.284607578;0.475009955;0.068959781;0.915017103
chr8;116960195;116960446;Atmin;251;+;2.535496992;0.273377244;0.539168718;0.073833778;0.89579475
chr3;35856021;35856276;Atp11b;255;+;4.299575042;0.161212951;0.772041073;0.035283294;0.923125651
chr8;69807496;69807748;Atp13a1;252;+;2.036450816;0.340370204;0.460851073;0.099555724;0.83941433
chr10;99025891;99026143;Atp2b1;252;+;3.179352332;0.218015214;1.051308543;0.107705141;0.66959973
chr18;77782152;77782516;Atp5a1;364;+;11.36253643;0.061002857;4.845723221;0.045360048;0.827640845
chr18;77782618;77782871;Atp5a1;253;+;11.02579396;0.062865965;5.781933429;0.069316646;0.701590008
chr10;128090026;128090388;Atp5b;362;+;12.21855419;0.056729067;4.165420203;0.029342664;0.906801676
chr10;80145566;80145828;Atp5d;262;+;9.277021097;0.074716568;2.450511976;0.026821006;0.924827428
chrX;74304447;74304721;Atp6ap1;274;+;4.551856321;0.152277913;0.559608679;0.02134538;0.971943926
chrX;12616490;12616740;Atp6ap2;250;+;5.405827858;0.128222207;0.973136651;0.02814943;0.946746123
chr17;26699390;26699646;Atp6v0e;256;+;9.565443723;0.072463672;4.776993569;0.0722903;0.698242109
chr6;48541529;48541800;Atp6v0e2;271;+;3.441595163;0.201402881;1.025283685;0.085458804;0.799040328
chr8;69113457;69113717;Atp6v1b2;260;+;5.216390512;0.132878698;1.198223649;0.039624636;0.909754543
chr15;38691950;38692446;Atp6v1c1;496;+;4.18339824;0.165689982;0.989120122;0.05130652;0.886494498
chr6;29470259;29470516;Atp6v1f;257;+;7.121780305;0.097327796;1.606008087;0.028338594;0.933307933
chr4;63550451;63550702;Atp6v1g1;251;+;4.127099038;0.167950217;0.618915824;0.02962988;0.951487187
chr1;5162197;5162549;Atp6v1h;352;+;3.281877479;0.211204466;0.552920815;0.042792671;0.928432985
chr4;115811668;115811920;Atpaf1;252;+;4.133563311;0.167687568;1.3651775;0.082691977;0.712826691
chr9;95951394;95951644;Atr;250;+;2.215412045;0.312875062;0.627623315;0.123673685;0.692727118
chr5;31054372;31054633;Atraid;261;+;4.393419644;0.1577694;1.378673947;0.072149555;0.785836073
chr15;85462813;85463211;Atxn10;398;+;6.581344481;0.105319997;1.568004415;0.032940558;0.906848837
chr5;121814699;121814950;Atxn2;251;+;4.881915723;0.141982619;1.962290753;0.095427044;0.689664246
chr4;134523672;134523922;Aunip;250;+;2.166429335;0.31994913;0.481609612;0.091458198;0.875579952
chr6;83057426;83057682;Aup1;256;+;4.370037355;0.15861356;1.001492877;0.04715697;0.889651516
chr4;155832811;155833098;Aurkaip1;287;+;7.390182195;0.093792976;2.070129676;0.036496561;0.893394733
chr2;112630823;112631255;Aven;432;+;7.917601214;0.087545099;3.643683599;0.074635655;0.706255266
chr6;56761661;56761911;Avl9;250;+;2.617308773;0.264832024;0.702948524;0.097245688;0.83379581
